codigo_municipio;municipio;year;comarca;poblacion;renta_media;densidad;zona_costera;rural;residuos_total_tn;residuos_selectiva_tn;pct_selectiva
08001;Municipio 001;2000;Comarca 11;4855;23883;522,3;0;0;1814,6203211204925;464,9058538806624;25,6200070323026
08001;Municipio 001;2001;Comarca 11;5129;23883;522,3;0;0;2618,1083719212220;624,8451565305749;23,8662831237979
08001;Municipio 001;2002;Comarca 11;4995;23883;522,3;0;0;2145,9022007900203;443,2424116456547;20,6552941453937
08001;Municipio 001;2003;Comarca 11;4981;23883;522,3;0;0;2141,4516961455925;768,1637713624442;35,8711696717262
08001;Municipio 001;2004;Comarca 11;5009;23883;522,3;0;0;2289,6080903639086;778,8945760191207;34,0186855251426
08001;Municipio 001;2005;Comarca 11;4927;23883;522,3;0;0;1921,8364609835080;661,0966859054070;34,3992165476498
08001;Municipio 001;2006;Comarca 11;4827;23883;522,3;0;0;1870,7477735621085;589,0259426349853;31,4861228733906
08001;Municipio 001;2007;Comarca 11;5162;23883;522,3;0;0;2617,4601709261524;937,1744456951154;35,8047261274470
08001;Municipio 001;2008;Comarca 11;4989;23883;522,3;0;0;2170,9899771701985;608,3144137798218;28,0201392073093
08001;Municipio 001;2009;Comarca 11;5357;23883;522,3;0;0;2419,8884227932836;859,1546750536166;35,5038962524517
08001;Municipio 001;2010;Comarca 11;5042;23883;522,3;0;0;2361,3233554894105;915,6187924168440;38,7756632435913
08001;Municipio 001;2011;Comarca 11;5446;23883;522,3;0;0;2802,9687986107579;798,3089301332757;28,4808354102601
08001;Municipio 001;2012;Comarca 11;4932;23883;522,3;0;0;2083,4427748116650;705,3277388996499;33,8539530543818
08001;Municipio 001;2013;Comarca 11;5389;23883;522,3;0;0;2293,3858195453126;788,7571763507732;34,3926944009426
08001;Municipio 001;2014;Comarca 11;5144;23883;522,3;0;0;2537,7869802308869;1059,5094891239817;41,7493468670719
08001;Municipio 001;2015;Comarca 11;5323;23883;522,3;0;0;2656,2725632121178;1210,3561511815635;45,5659621660938
08001;Municipio 001;2016;Comarca 11;5410;23883;522,3;0;0;2481,9932003928807;849,7194893755836;34,2353673346518
08001;Municipio 001;2017;Comarca 11;5755;23883;522,3;0;0;2482,5549223563876;1039,8776813133049;41,8873988224307
08001;Municipio 001;2018;Comarca 11;5473;23883;522,3;0;0;2770,1645535122857;1171,6734225756195;42,2961668861894
08001;Municipio 001;2019;Comarca 11;5554;23883;522,3;0;0;2428,0274400544754;822,5995973087976;33,8793369357614
08001;Municipio 001;2020;Comarca 11;5620;23883;522,3;0;0;2829,7905146719454;1396,3270089127423;49,3438295758305
08001;Municipio 001;2021;Comarca 11;5332;23883;522,3;0;0;2444,2555759680836;951,4707506795555;38,9268110926866
08001;Municipio 001;2022;Comarca 11;5412;23883;522,3;0;0;2634,9408720358965;1089,6846045911873;41,3551824314463
08001;Municipio 001;2023;Comarca 11;5429;23883;522,3;0;0;2499,2739892035042;1031,1074118600411;41,2562774755498
08007;Municipio 007;2000;Comarca 3;3312;25587;264,5;0;0;1464,9632842782189;406,5763955558334;27,7533505391674
