"id_empresa","sector","ccaa","empleados_2020","facturacion_2020_miles","intensidad_idi","running","elegible"
"E00001","Comercio","Madrid",268,1058.7,0.07840433448879,0.02840433448879,1
"E00002","Industria","Galicia",55,5140.2,0.063011380900731,0.013011380900731,1
"E00003","Comercio","Cataluna",65,10903.7,0.019365304143591,-0.030634695856409,0
"E00004","Industria","Andalucia",38,5896.2,0.0466751532166104,-0.00332484678338956,0
"E00005","Servicios","Andalucia",20,11149.6,0.0320077666901798,-0.0179922333098202,0
"E00006","Servicios","Galicia",47,1657.3,0.0704588841270836,0.0204588841270836,1
"E00007","TIC","Madrid",20,1696.2,0.0269906149318989,-0.0230093850681011,0
"E00008","Servicios","Valencia",196,872.9,0.0648422707808849,0.0148422707808849,1
"E00009","TIC","Valencia",16,5130.7,0.0808902181983817,0.0308902181983817,1
"E00010","Comercio","Andalucia",25,7128.7,0.0751252111211363,0.0251252111211363,1
"E00011","TIC","Madrid",19,581.1,0.0369861577300055,-0.0130138422699945,0
"E00012","TIC","Galicia",26,6686.6,0.024176595656035,-0.025823404343965,0
"E00013","Industria","Cataluna",65,8145.6,0.042772712012622,-0.00722728798737796,0
"E00014","Industria","Cataluna",85,2463.4,0.0444797878781552,-0.00552021212184484,0
"E00015","Industria","Madrid",58,9152.9,0.00413263193577183,-0.0458673680642282,0
"E00016","Comercio","Pais Vasco",56,2422.6,0.0675224205691498,0.0175224205691498,1
"E00017","Industria","Andalucia",24,6615.3,0.0877798138566291,0.0377798138566291,1
"E00018","TIC","Valencia",32,5265.1,0.0298937887079929,-0.0201062112920071,0
"E00019","TIC","Pais Vasco",84,2242.8,0.0555721308810366,0.00557213088103659,1
"E00020","TIC","Valencia",21,10808.3,0.0881242837087089,0.0381242837087089,1
"E00021","Industria","Cataluna",34,2842.7,0.0326262284302047,-0.0173737715697953,0
"E00022","Servicios","Madrid",14,1385.3,0.109049394485677,0.0590493944856775,1
"E00023","Servicios","Galicia",33,1501.9,0.0616394848431184,0.0116394848431184,1
"E00024","TIC","Pais Vasco",64,1082.6,0.0411866908896294,-0.00881330911037059,0
"E00025","Servicios","Pais Vasco",33,4000.3,0.0278011895036643,-0.0221988104963357,0
"E00026","Servicios","Valencia",319,4081.3,0.0990627175512466,0.0490627175512466,1
"E00027","TIC","Cataluna",15,2187.7,0.0239512137978919,-0.0260487862021081,0
"E00028","TIC","Galicia",186,2452.9,0.0441439974323831,-0.00585600256761686,0
"E00029","TIC","Valencia",64,8240.7,0.0705388565861667,0.0205388565861667,1
"E00030","Servicios","Galicia",35,1418.4,0.0223532963502184,-0.0276467036497816,0
"E00031","Servicios","Madrid",14,4747.5,0.0603942510520014,0.0103942510520014,1
"E00032","Servicios","Galicia",123,3298.4,0.0312292601860163,-0.0187707398139837,0
"E00033","Industria","Cataluna",76,14048.1,0.0122368530998391,-0.0377631469001609,0
"E00034","Comercio","Madrid",218,607.9,0.0635126235905424,0.0135126235905424,1
"E00035","TIC","Galicia",96,13852.2,0.0104244671465746,-0.0395755328534254,0
"E00036","Industria","Galicia",5,3729.9,0.0594979125328069,0.00949791253280687,1
"E00037","Servicios","Madrid",13,813.9,0.0126829287035523,-0.0373170712964477,0
"E00038","Comercio","Galicia",40,6417.5,0.0444350461694568,-0.00556495383054317,0
"E00039","TIC","Cataluna",57,7142.9,0.0418407979816752,-0.00815920201832482,0
"E00040","Servicios","Andalucia",76,3239.9,0.0381422402672539,-0.0118577597327461,0
"E00041","Industria","Cataluna",19,4423.8,0.0541005829440886,0.00410058294408863,1
"E00042","Industria","Valencia",200,5671.4,0.0512927026872406,0.00129270268724058,1
"E00043","Servicios","Madrid",65,1958.8,0.0865620978695592,0.0365620978695591,1
"E00044","Comercio","Pais Vasco",43,2303.8,0.0447315733566702,-0.00526842664332984,0
"E00045","Comercio","Madrid",23,2791.9,0.0510917928116629,0.00109179281166295,1
"E00046","Servicios","Pais Vasco",75,2270.6,0.0337179435106508,-0.0162820564893492,0
"E00047","Comercio","Madrid",17,2562.4,0.0699734647963564,0.0199734647963564,1
"E00048","Servicios","Galicia",125,1725.2,0.00837623004691151,-0.0416237699530885,0
"E00049","Comercio","Pais Vasco",45,5373,0.0542349464202627,0.00423494642026266,1
"E00050","Industria","Andalucia",175,2966.2,0.0901949738565803,0.0401949738565803,1
"E00051","Servicios","Pais Vasco",22,6248.1,0.035767919758209,-0.014232080241791,0
"E00052","Comercio","Cataluna",48,4845.1,0.0858425164475017,0.0358425164475017,1
"E00053","Servicios","Cataluna",251,2597.4,0.0300100772010823,-0.0199899227989177,0
"E00054","Comercio","Madrid",56,2471,0.103029921076841,0.0530299210768414,1
"E00055","TIC","Andalucia",55,4170.2,0.0777624291623004,0.0277624291623004,1
"E00056","Industria","Galicia",30,4213.2,0.0412705352402264,-0.00872946475977356,0
"E00057","Servicios","Valencia",49,6687.8,0.0404459406147971,-0.00955405938520293,0
"E00058","Comercio","Madrid",19,2713.3,0.00347907661694354,-0.0465209233830565,0
"E00059","Industria","Valencia",59,11317.3,0.0385351880170524,-0.0114648119829476,0
"E00060","Industria","Cataluna",15,5680.7,0.114270128071905,0.0642701280719053,1
"E00061","Servicios","Madrid",46,2931.9,0.0528547743554718,0.00285477435547177,1
"E00062","Servicios","Galicia",24,6480.8,0.00266147000500036,-0.0473385299949996,0
"E00063","Comercio","Valencia",122,1350.6,0.0882495815710343,0.0382495815710343,1
"E00064","Industria","Madrid",43,5672.2,0.00321400310283327,-0.0467859968971667,0
"E00065","Industria","Galicia",49,44246.3,0.00819886876867565,-0.0418011312313244,0
"E00066","Servicios","Galicia",57,3695.1,0.0696943324718428,0.0196943324718428,1
"E00067","TIC","Cataluna",21,3460.7,0.0570841982680465,0.00708419826804647,1
"E00068","Industria","Andalucia",22,2084.5,0.083975708818514,0.033975708818514,1
"E00069","TIC","Cataluna",129,3713.8,0.0360899569526754,-0.0139100430473246,0
"E00070","Comercio","Madrid",44,9249.7,0.0792679270985681,0.0292679270985681,1
"E00071","Servicios","Andalucia",29,525.7,0.0401920462916985,-0.0098079537083015,0
"E00072","Servicios","Galicia",19,2968.2,0.0420613947835365,-0.00793860521646347,0
"E00073","Industria","Valencia",125,363.3,0.0246053974730686,-0.0253946025269314,0
"E00074","Comercio","Cataluna",23,3552.1,0.00870942611010661,-0.0412905738898934,0
"E00075","Servicios","Cataluna",206,1538.9,0.0665218357708987,0.0165218357708987,1
"E00076","Industria","Madrid",69,1749.7,0.0876215426200323,0.0376215426200323,1
"E00077","Industria","Cataluna",121,4343.8,0.0456136336789204,-0.00438636632107955,0
"E00078","TIC","Galicia",42,1130.1,0.0233784095933656,-0.0266215904066344,0
"E00079","Servicios","Andalucia",55,17632.5,0,-0.05,0
"E00080","Comercio","Cataluna",40,6518.9,0.0388679835455209,-0.0111320164544791,0
"E00081","Servicios","Pais Vasco",128,15039.4,0.0395141604101995,-0.0104858395898005,0
"E00082","TIC","Valencia",35,19427.4,0.0846446352533391,0.0346446352533391,1
"E00083","Comercio","Valencia",55,2648.8,0.0197326026461777,-0.0302673973538223,0
"E00084","Servicios","Galicia",42,2866.7,0.0320589929354534,-0.0179410070645466,0
"E00085","Servicios","Valencia",38,2436.3,0.0495442876521408,-0.000455712347859169,0
